Date,Open_BTC,High_BTC,Low_BTC,Close_BTC,Adj Close_BTC,Volume_BTC,Target_BTC,Close_Ratio_BTC_2,Trend_BTC_2,Close_Ratio_BTC_7,Trend_BTC_7,Close_Ratio_BTC_15,Trend_BTC_15,edit_counts,sentiment,neg_sentiment
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700,0,0.9887397576612523,0.0,0.9716085592340067,1.0,0.9373820536682761,4.0,0.7333333333333333,-0.10963873787058724,0.20444444444444448
2014-10-03,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,359.5119934082031,30901200,0,0.9788179460898095,0.0,0.9470415688513019,1.0,0.9083205369286982,4.0,0.7333333333333333,-0.10963873787058724,0.20444444444444448
2014-10-04,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,328.8659973144531,47236500,0,0.9554808600699479,0.0,0.8899757474010961,1.0,0.8402229314665638,4.0,0.7333333333333333,-0.10963873787058724,0.20444444444444448
2014-10-05,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,320.510009765625,83308096,1,0.9871322816708291,0.0,0.8867914980837569,1.0,0.8313914928127845,3.0,0.7333333333333333,-0.10963873787058724,0.20444444444444448
2014-10-06,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,330.0790100097656,79011800,1,1.0147082104881577,1.0,0.9299504698790855,2.0,0.8665139251255785,4.0,0.7333333333333333,-0.10963873787058724,0.20444444444444448
2014-10-07,330.5840148925781,339.24700927734375,320.48199462890625,336.18701171875,336.18701171875,49199900,1,1.0091675119393575,2.0,0.9669115931264106,2.0,0.8928561673678507,4.0,0.8666666666666667,-0.11166584415568245,0.22111111111111115
2014-10-08,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,352.94000244140625,54736300,1,1.0243104542100605,2.0,1.0280521616178526,3.0,0.9513041823027913,4.0,0.8666666666666667,-0.1759817135665152,0.2544444444444445
2014-10-09,352.74798583984375,382.72601318359375,347.68701171875,365.0260009765625,365.0260009765625,83641104,0,1.0168336640977698,2.0,1.0677199553157328,4.0,0.9942748403692712,5.0,0.8666666666666667,-0.1759817135665152,0.2544444444444445
2014-10-10,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,361.56201171875,43665700,1,0.9952325262772191,1.0,1.056682421537933,4.0,0.9938654193342931,5.0,0.8666666666666667,-0.1759817135665152,0.2544444444444445
2014-10-11,361.36199951171875,367.1910095214844,355.95098876953125,362.29901123046875,362.29901123046875,13345200,1,1.001018150568069,1.0,1.0442600203454453,5.0,1.0036391393655035,6.0,0.8666666666666667,-0.1759817135665152,0.2544444444444445
2014-10-12,362.6059875488281,379.4330139160156,356.1440124511719,378.54901123046875,378.54901123046875,17552800,1,1.0219343232448959,2.0,1.0656310861770484,6.0,1.0527319588489217,7.0,2.5,-0.18784757050594778,0.2775736961451248
2014-10-13,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400,1,1.0154298581836683,2.0,1.0729967156223992,6.0,1.0830709220177586,8.0,2.5,-0.18784757050594775,0.2775736961451248
2014-10-14,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,400.8699951171875,38491500,0,1.013213958196436,2.0,1.0744468763529915,6.0,1.1068772688672572,9.0,3.066666666666667,-0.17304422174834516,0.2701662887377173
2014-10-15,400.9549865722656,402.22698974609375,388.7659912109375,394.77301025390625,394.77301025390625,25267100,0,0.9923370345467468,1.0,1.04142389975993,5.0,1.088473687487694,8.0,2.966666666666667,-0.15483330165290146,0.26016628873771735
2014-10-16,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,382.5559997558594,26990000,1,0.984283346767293,0.0,1.0025716579058588,4.0,1.0549941371704672,8.0,2.933333333333333,-0.15512809132479935,0.26016628873771735
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.75799560546875,383.75799560546875,13600700,1,1.0015685422123115,1.0,0.9974331625624844,5.0,1.0566215995039392,9.0,3.2333333333333334,-0.13317075174659468,0.2479440665154951
2014-10-18,383.97601318359375,395.1579895019531,378.97100830078125,391.4419860839844,391.4419860839844,11416800,0,1.0099122686532698,2.0,1.0065134258703847,5.0,1.0714983240655052,10.0,3.2,-0.10012608966837304,0.21461073318216176
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570,0,0.9975723107757938,1.0,0.9976084193873512,4.0,1.0546301234494024,10.0,3.1666666666666665,-0.0668143828869857,0.18127739984882843
2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,382.8450012207031,16419000,1,0.9913243566460743,0.0,0.9831700278259804,3.0,1.024956777059981,10.0,3.2,-0.10013365945825953,0.21461073318216178
2014-10-21,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,386.4750061035156,14188900,0,1.00471845896149,1.0,0.9977613197952871,3.0,1.0243642268328548,10.0,3.1666666666666665,-0.13332107068707524,0.21461073318216178
2014-10-22,386.1180114746094,388.57598876953125,382.2489929199219,383.1579895019531,383.1579895019531,11641300,0,0.9956901320233119,1.0,0.9934535251184093,3.0,1.0072126346742434,9.0,3.1666666666666665,-0.13332107068707524,0.21461073318216178
2014-10-23,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,358.4169921875,26456900,0,0.9666372276231754,0.0,0.9376889433858662,3.0,0.9412721769764243,8.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-10-24,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,358.3450012207031,15585700,0,0.9998995608480096,0.0,0.9464902794904855,2.0,0.9421851947613517,7.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-10-25,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,347.27099609375,18127500,1,0.9843059041049235,0.0,0.9327873468409112,1.0,0.9153616385929736,7.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-10-26,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,354.7040100097656,11272500,0,1.0105887159106623,1.0,0.9656633434406395,2.0,0.9362035914766007,7.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-10-27,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,352.989013671875,13033000,1,0.9975766380612759,1.0,0.9722841547210209,2.0,0.935886213913224,6.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-10-28,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,357.6180114746094,7845880,0,1.0065141458484457,1.0,0.9963478899574305,2.0,0.953687534745702,6.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-10-29,357.0889892578125,357.8330078125,335.3429870605469,335.59100341796875,335.59100341796875,18192700,1,0.9682245793354923,1.0,0.9530218838097455,2.0,0.9054547910348861,5.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-10-30,335.7090148925781,350.9129943847656,335.0719909667969,345.30499267578125,345.30499267578125,30177900,0,1.014266480216569,1.0,0.9858521274048502,3.0,0.9400283302899405,6.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-10-31,345.0090026855469,348.0450134277344,337.1419982910156,338.3210144042969,338.3210144042969,12545400,0,0.9897839195712952,1.0,0.9738662858949538,3.0,0.928469600005177,6.0,3.066666666666667,-0.16684516620248535,0.23127739984882847
2014-11-01,338.6499938964844,340.52899169921875,321.05499267578125,325.7489929199219,325.7489929199219,16677200,1,0.9810682287323406,0.0,0.9460501485706031,3.0,0.9035571911477931,5.0,3.1333333333333333,-0.1728003497084973,0.24794406651549514
2014-11-02,326.07501220703125,329.04998779296875,320.6260070800781,325.8919982910156,325.8919982910156,8603620,1,1.0002194542286666,1.0,0.9579162248077634,3.0,0.9150455189094668,5.0,3.2,-0.20603009314944326,0.28127739984882844
2014-11-03,325.5690002441406,334.00201416015625,325.4809875488281,327.5539855957031,327.5539855957031,12948500,1,1.0025434195720386,2.0,0.9731955452001481,4.0,0.9305098553884615,6.0,3.2666666666666666,-0.2392080987653134,0.3146107331821618
2014-11-04,327.1610107421875,331.7669982910156,325.0769958496094,330.49200439453125,330.49200439453125,15655500,1,1.0044647621040463,2.0,0.9933617010436656,4.0,0.9482580140163982,7.0,3.5,-0.2558738480881138,0.3384202569916856
2014-11-05,330.6830139160156,343.3689880371094,330.6830139160156,339.4859924316406,339.4859924316406,19817200,1,1.0134243036035748,2.0,1.0186912660152436,5.0,0.9828982901311911,7.0,3.566666666666667,-0.26096691299232677,0.35508692365835226
2014-11-06,339.4580078125,352.96600341796875,338.42401123046875,349.2900085449219,349.2900085449219,18797000,0,1.0142339688075381,2.0,1.046322665419975,5.0,1.0179377656931288,8.0,4.3,-0.28656924795935307,0.36918948776091637
