Date,Open_XMR,High_XMR,Low_XMR,Close_XMR,Adj Close_XMR,Volume_XMR,Target_XMR,Open_BTC,High_BTC,Low_BTC,Close_BTC,Adj Close_BTC,Volume_BTC,Target_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Adj Close_ETH,Volume_ETH,Target_ETH,Open_G,High_G,Low_G,Close_G,Adj Close_G,Volume_G,Target_G,Open_D,High_D,Low_D,Close_D,Adj Close_D,Volume_D,Target_D,Open_S,High_S,Low_S,Close_S,Adj Close_S,Volume_S,Target_S,hash,difficulty
2017-11-09,112.53199768066406,123.40499877929688,112.21900177001953,120.77999877929688,120.77999877929688,86864600,0,7446.830078125,7446.830078125,7101.52001953125,7143.580078125,7143.580078125,3226249984,0,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,320.8840026855469,893249984,0,1279.699951171875,1286.9000244140625,1279.699951171875,1285.5999755859375,1285.5999755859375,18.0,0.0,94.8499984741211,94.86499786376953,94.30500030517578,94.35199737548828,94.35199737548828,22013.0,0.0,257.7300109863281,258.3900146484375,256.3599853515625,258.1700134277344,233.24021911621094,95085500.0,0.0,233898872.2,28067864772.08014
2017-11-10,121.34400177001953,121.66500091552734,101.75700378417969,105.58599853515625,105.58599853515625,84614000,1,7173.72998046875,7312.0,6436.8701171875,6618.14013671875,6618.14013671875,5208249856,0,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,299.25299072265625,885985984,1,1283.5,1283.5,1272.4000244140625,1272.4000244140625,1272.4000244140625,10.0,1.0,94.36499786376953,94.55500030517578,94.15499877929688,94.27799987792969,94.27799987792969,10711.0,1.0,257.7300109863281,258.2900085449219,257.3699951171875,258.0899963378906,233.16793823242188,59984700.0,1.0,233778227.0,28053387353.0
2017-11-11,105.75,127.10600280761719,103.87799835205078,119.61599731445312,119.61599731445312,107708000,1,6618.60986328125,6873.14990234375,6204.22021484375,6357.60009765625,6357.60009765625,4908680192,0,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,314.6809997558594,842300992,0,1283.5,1283.5,1272.4000244140625,1272.4000244140625,1272.4000244140625,10.0,1.0,94.36499786376953,94.55500030517578,94.15499877929688,94.27799987792969,94.27799987792969,10711.0,1.0,257.7300109863281,258.2900085449219,257.3699951171875,258.0899963378906,233.16793823242188,59984700.0,1.0,233778227.0,28053387353.0
2017-11-12,119.59700012207031,133.6750030517578,110.61799621582031,123.85600280761719,123.85600280761719,144948000,0,6295.4501953125,6625.0498046875,5519.009765625,5950.06982421875,5950.06982421875,8957349888,1,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,307.9079895019531,1613479936,1,1283.5,1283.5,1272.4000244140625,1272.4000244140625,1272.4000244140625,10.0,1.0,94.36499786376953,94.55500030517578,94.15499877929688,94.27799987792969,94.27799987792969,10711.0,1.0,257.7300109863281,258.2900085449219,257.3699951171875,258.0899963378906,233.16793823242188,59984700.0,1.0,233778227.0,28053387353.0
2017-11-13,128.9600067138672,136.5279998779297,120.9219970703125,123.4020004272461,123.4020004272461,116200000,0,5938.25,6811.18994140625,5844.2900390625,6559.490234375,6559.490234375,6263249920,1,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,316.71600341796875,1041889984,1,1277.300048828125,1277.300048828125,1277.0,1277.300048828125,1277.300048828125,3.0,1.0,94.3550033569336,94.54499816894531,94.30999755859375,94.38800048828125,94.38800048828125,27436.0,0.0,257.30999755859375,258.5899963378906,257.2699890136719,258.3299865722656,233.38473510742188,50228600.0,0.0,233778227.0,28053387353.0
2017-11-14,123.61599731445312,124.20099639892578,118.6259994506836,122.35299682617188,122.35299682617188,53544800,0,6561.47998046875,6764.97998046875,6461.75,6635.75,6635.75,3197110016,1,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,337.6310119628906,1069680000,0,1276.9000244140625,1281.5,1276.9000244140625,1281.5,1281.5,4.0,0.0,94.40499877929688,94.44000244140625,93.63999938964844,93.7229995727539,93.7229995727539,25251.0,1.0,257.4100036621094,257.8500061035156,256.5199890136719,257.7300109863281,232.8427276611328,61315200.0,0.0,233778227.0,28053387353.0
2017-11-15,122.24099731445312,124.72200012207031,119.19200134277344,121.3740005493164,121.3740005493164,49976700,0,6634.759765625,7342.25,6634.759765625,7315.5400390625,7315.5400390625,4200880128,1,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,333.35699462890625,722665984,0,1281.4000244140625,1284.699951171875,1275.9000244140625,1276.5,1276.5,13.0,1.0,93.7699966430664,93.80000305175781,93.30500030517578,93.72599792480469,93.72599792480469,12190.0,1.0,256.6199951171875,257.2200012207031,255.6300048828125,256.44000244140625,231.6772918701172,80811500.0,1.0,233778227.0,28053387353.0
2017-11-16,121.24299621582031,128.08799743652344,118.50499725341797,120.30500030517578,120.30500030517578,74944096,1,7323.240234375,7967.3798828125,7176.580078125,7871.68994140625,7871.68994140625,5123809792,0,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,330.92401123046875,797254016,1,1277.5,1277.5,1277.4000244140625,1277.4000244140625,1277.4000244140625,43.0,1.0,93.78500366210938,93.91500091552734,93.69000244140625,93.85399627685547,93.85399627685547,12190.0,0.0,257.5199890136719,259.0400085449219,257.4700012207031,258.6199951171875,233.646728515625,67777000.0,0.0,245699478.0,29483937439.52084
2017-11-17,120.01499938964844,126.69999694824219,119.25,126.69999694824219,126.69999694824219,47127700,1,7853.56982421875,8004.58984375,7561.08984375,7708.990234375,7708.990234375,4651670016,1,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,332.3940124511719,621732992,1,1288.300048828125,1295.800048828125,1288.300048828125,1295.800048828125,1295.800048828125,1.0,0.0,93.71499633789062,93.84500122070312,93.41999816894531,93.57499694824219,93.57499694824219,19683.0,1.0,258.2200012207031,258.5899963378906,257.7699890136719,257.8599853515625,232.96011352539062,75756800.0,1.0,252674588.3,30320950661.74825
2017-11-18,126.59500122070312,135.01199340820312,123.52899932861328,130.7989959716797,130.7989959716797,62156400,0,7697.2099609375,7884.990234375,7463.43994140625,7790.14990234375,7790.14990234375,3667190016,1,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,347.61199951171875,649638976,1,1288.300048828125,1295.800048828125,1288.300048828125,1295.800048828125,1295.800048828125,1.0,0.0,93.71499633789062,93.84500122070312,93.41999816894531,93.57499694824219,93.57499694824219,19683.0,1.0,258.2200012207031,258.5899963378906,257.7699890136719,257.8599853515625,232.96011352539062,75756800.0,1.0,244554972.7,29346596784.25175
